date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
01.Jan.16;0,013319194;0,008346387;0,62664353;36278900;316781;1,0388E+11;0,069424029;697129,1664;8,19453423;1467038,272;86,14053595;1;434,6780064;15032886,13;320580;174515,8184;75858188,05;0,151992236;0,024771778;0,47824633;0;18,209999;0;6245;0
02.Jan.16;0,00661487;-0,002718708;-0,410999435;30096600;417966;1,0388E+11;0,091773236;748768,3639;8,799414892;1574844,555;79,29395821;1;434,4398773;15036511,13;405602;189629,9727;82382822,08;0,213258404;0,038222742;0,36532616;0;18,209999;0;7707;0
03.Jan.16;0,013960916;-0,008267859;-0,592214658;39633800;398443;1,0388E+11;0,072583756;748768,3639;8,797294042;1559243,653;64,69371227;1;430,13618;15040136,13;432531;232482,1935;99999002,63;0,177840711;0,013314253;0,396341953;0;18,209999;0;9635;0
04.Jan.16;0,007766662;0,007020825;0,903969356;38477500;413159;1,0388E+11;0,073746309;934669,475;10,9781469;1961356,594;58,17052866;1;433,4489711;15044661,13;419538;258630,2975;112103036,3;0,153373169;0,033926856;0,343233344;-9,76552E-05;20,700001;0,013861794;9914;-0,012609835
05.Jan.16;0,007192202;-0,002566386;-0,356829002;34522600;435291;1,0388E+11;0,076591017;810735,4009;9,519997342;1698227,798;44,82109866;1;432,6695026;15048586,13;438135;335747,8193;145267842;0,19823033;0,02379693;0,237647917;0,000140392;19,34;0,003064781;9817;0,001453918
06.Jan.16;0,008184198;-0,006388165;-0,78054869;34042500;381359;1,0388E+11;0,077266683;728112,6849;8,547804282;1518139,491;46,36561123;1;430,6778697;15052111,13;377133;324639,5493;139815069,5;0,215527522;0,032354525;0,243482338;0;20,59;0,012440837;8812;-0,010719823
07.Jan.16;0,026395043;0,063169884;2,393248013;87562200;432867;1,0388E+11;0,088403103;759096,2034;8,909365397;1687592,855;34,37238899;1;459,2089401;15055786,13;459852;438019,7763;201142597,2;0,264657231;0,042626648;0,435324;9,74164E-05;24,99;0,014366496;10472;-0,021500621
08.Jan.16;0,022519909;-0,00946459;-0,42027655;56993000;405522;1,0388E+11;0,081384932;893358,1169;10,48216036;1964131,383;39,52312265;1;454,1344237;15060111,13;411240;381045,5785;173045914,2;0,211021724;0,049425973;0,329351896;-9,79269E-05;27,01;-0,008977616;8982;-0,012378648
09.Jan.16;0,009188806;-0,012808308;-1,393903511;32278000;461784;1,0388E+11;0,075462192;779751,8824;9,146876097;1698165,691;64,95358519;1;449,8452162;15063886,13;501477;231917,7008;104327068,3;0,16162633;0,034230379;0,309392381;0;27,01;0;7506;0
10.Jan.16;0,012663137;-0,000557893;-0,044056424;35995900;427477;1,0388E+11;0,078311989;903685,9565;10,59760636;1962538,446;57,11186258;1;448,5802162;15068261,13;443434;263837,6767;118352362;0,180174704;0,01938346;0,304141796;0;27,01;0;7441;0
11.Jan.16;0,010744325;-0,000601919;-0,056022086;40450000;452499;1,0388E+11;0,084333522;877866,3577;10,29191477;1908390,501;39,74007903;1;449,033059;15072511,13;463113;379277,3317;170308060,5;0,170573049;0,038414168;0,237510778;0,000186471;24,299999;-0,001184888;9126;-0,001272797
12.Jan.16;0,009530681;-0,028263956;-2,965575592;115607000;453665;1,0388E+11;0,07879625;877866,3577;10,28901358;1877514,668;43,42385696;1;441,7681572;15076761,13;476801;347199,9539;153381883,8;0,184712938;0,023013508;0,753720043;-8,65684E-05;22,469999;-0,009990459;8556;0,005612311
13.Jan.16;0,017376089;-0,005305419;-0,305328738;173888000;430325;1,10602E+11;0,078653484;813710,194;8,955296446;1599549,387;38,87373344;1;432,3106452;15080461,13;425581;387934,4689;167708200,5;0,167448184;0,05057171;1,036848523;0;25,219999;0,001748654;8535;-0,026138249
14.Jan.16;0,00851776;-0,00459078;-0,53896563;43945500;427750;1,13354E+11;0,075027515;749438,0833;8,04589106;1429162,222;45,09259497;1;429,8232247;15083786,13;429347;334506,9438;143778853,3;0,18422019;0,053128453;0,305646477;-0,000185542;23,950001;-0,012584602;8500;0,015817737
15.Jan.16;0,056086794;-0,166329627;-2,965575592;153351008;410879;1,13354E+11;0,072923322;687454,4824;7,378949371;1121860,76;26,18336385;1;367,8231999;15086836,13;408167;576199,308;211939473,3;0,235256018;0,054044509;0,72356039;0,000108672;27,02;0,016256015;10379;-0,019147229
16.Jan.16;0,056592736;0,059729953;1,055434987;120352000;511206;1,13354E+11;0,06878961;800151,9386;8,586592739;1377652,776;35,31153967;1;388,0712046;15090386,13;503354;427349,9903;165842225,5;0,236636951;0,044326127;0,725701791;0;27,02;0;9734;0
17.Jan.16;0,018334354;-0,012606574;-0,687593024;45319600;521728;1,13354E+11;0,068626757;850865,7938;9,128529819;1443869,877;44,42531182;1;382,4820865;15094161,13;585597;339764,8888;129953983,6;0,195235216;0,039971449;0,34873575;0;27,02;0;10163;0
18.Jan.16;0,019221454;0,014150321;0,736173253;54403900;476975;1,13354E+11;0,072490519;974832,9956;10,45551843;1664541,845;36,62344657;1;384,8651666;15098486,13;501343;412262,8411;158665607;0,186158746;0,044115573;0,342884013;8,7E-05;27,02;0;11240;0
19.Jan.16;0,011697687;-0,017936298;-1,533319986;46819800;425484;1,13354E+11;0,079064443;749438,0833;8,036287762;1257387,736;36,18875184;1;378,161725;15101811,13;428554;417306,7698;157809447,9;0,22874679;0,047142652;0,296685659;0;26,049999;-0,001466948;10285;-0,003888609
20.Jan.16;0,058487845;0,101315372;1,732246624;121720000;623972;1,13354E+11;0,094428114;856500,6666;9,182018442;1598367,112;27,2676055;1;420,6229242;15105611,13;534659;553976,444;233015191,8;0,232889588;0,050101375;0,522369375;0,000131045;27,59;0,015658035;9594;-0,009021587
21.Jan.16;0,024553447;-0,022582266;-0,919718763;68338000;511702;1,13354E+11;0,092389641;771977,5745;8,274022174;1401847,224;30,97438189;1;409,2984597;15109036,13;512253;487791,3686;199652255,8;0,189743922;0,037522726;0,342285138;0;26,690001;-0,007252321;9741;0,004037052
22.Jan.16;0,046613697;-0,068844708;-1,476920152;91546600;500516;1,13354E+11;0,080502874;991737,614;10,62630619;1676604,421;26,97051204;1;381,0464594;15113436,13;501366;560368,8989;213526584,9;0,229634974;0,027681273;0,42873631;9,75926E-05;22,34;-0,001730183;8986;0,015591046
