date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
01.Jan.16;0,024018083;0,028911343;1,203732331;105224;25800;19600,68783;0,000193868;1,358251535;4,96692;1910,64114;49,11260525;3,15318E-07;0,000137062;1,02439E+11;37493;2085790504;285882,1482;0,421843835;0,024771778;0,368067753;0;18,209999;0;396;0
02.Jan.16;0,030853113;-0,026196652;-0,849076449;90477;42295;18671,90884;0,00017716;1,296675315;4,97714;1911,089275;104,0147808;3,14887E-07;0,0001368;1,02453E+11;58873;984980931,2;134744,9173;0,348296204;0,038222742;0,671468741;0;18,209999;0;529;0
03.Jan.16;0,034733879;-0,019022313;-0,547658748;104005;55174;19759,85996;0,000199674;1,358476597;4,926405;1880,589478;53,11051773;3,1613E-07;0,000135979;1,02466E+11;72568;1929305343;262344,9984;0,332697574;0,013314253;0,396443617;0;18,209999;0;476;0
04.Jan.16;0,030900594;-0,014518057;-0,469830994;92160;34817;19978,32819;0,000190949;1,367537368;4,904505;1859,996161;41,19295478;3,11631E-07;0,000135076;1,0248E+11;53513;2487808321;336043,1318;0,361151385;0,033926856;0,274250509;-9,76552E-05;20,700001;0,013861794;547;-0,012609835
05.Jan.16;0,087629817;-0,048408027;-0,552415021;52937;32522;19933,77154;0,000182121;1,380342029;4,960715;1915,434757;64,81453904;3,17804E-07;0,000137504;1,02494E+11;42879;1581344358;217441,6329;0,295052587;0,02379693;0,243453838;0,000140392;19,34;0,003064781;570;0,001453918
06.Jan.16;0,015143784;-0,019146388;-1,264306701;41477;35029;19465,28041;0,000183909;1,32951584;4,89246;1867,147187;79,3282321;3,15529E-07;0,000135891;1,02508E+11;44079;1292198791;175598,6418;0,399457064;0,032354525;0,236203421;0;20,59;0,012440837;562;-0,010719823
07.Jan.16;0,032503601;0,035809453;1,101707244;180463;31790;18545,21849;0,000187498;1,27220518;4,913265;1935,580264;45,04263778;3,05437E-07;0,000140259;1,02522E+11;42111;2276102171;319244,8146;0,409649345;0,042626648;0,565280912;9,74164E-05;24,99;0,014366496;664;-0,021500621
08.Jan.16;0,060985987;0,123564085;2,026106181;306716;29793;19193,74823;0,00020744;1,319556811;4,92312;2140,409913;34,43198069;3,40793E-07;0,000154766;1,02535E+11;40584;2977913951;460878,9979;0,429973496;0,049425973;0,665502228;-9,79269E-05;27,01;-0,008977616;548;-0,012378648
09.Jan.16;0,124873213;0,035667523;0,285629895;1201210;53171;18424,93753;0,000279686;1,274944789;4,95451;2514,076402;18,08683483;4,01491E-07;0,000180609;1,02549E+11;68474;5669836465;1024023,136;0,412773482;0,034230379;1,173030137;0;27,01;0;571;0
10.Jan.16;0,075709005;-0,075605651;-0,998634846;326345;55558;19337,6474;0,000242107;1,334256177;4,939545;2338,856716;22,52491731;3,75642E-07;0,000168506;1,02563E+11;64767;4553325290;767260,4782;0,336742267;0,01938346;0,425337951;0;27,01;0;498;0
