date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
01.Jan.16;0,014785218;0,015199315;1,028007492;206062;2433;8,54742E+12;0,001749619;0,483217173;12,49327673;23994,33352;264,8142656;0,00211736;0,92037;76166279,41;8056;287621,5118;264718,2108;0,059256724;0,024771778;0,77842019;0;18,209999;0;333;0
02.Jan.16;0,023523716;-0,01093139;-0,46469657;255504;2486;8,14747E+12;0,002006941;0,480767234;13,11805385;26014,4371;370,2218974;0,002186701;0,94999;76193663,31;8867;205805,3936;195513,0659;0,062219466;0,038222742;1,306838491;0;18,209999;0;434;0
03.Jan.16;0,035835403;0,035076621;0,978825918;407632;2528;8,31241E+12;0,002010506;0,494175133;13,25306046;26487,46424;234,2116693;0,002225023;0,957062928;76221339,09;9081;325437,8371;311464,4893;0,051433511;0,013314253;1,308759149;0;18,209999;0;516;0
04.Jan.16;0,032683857;-0,018168161;-0,555875682;346245;2623;8,33416E+12;0,002136892;0,491669516;13,12615203;26049,59375;626,14101;0,002191723;0,95;76248759,72;9136;121775,6999;115686,9149;0,095016642;0,033926856;2,992948687;-9,76552E-05;20,700001;0,013861794;691;-0,012609835
05.Jan.16;0,017677944;-0,003047341;-0,172380972;219833;2620;8,30586E+12;0,003462689;0,492788266;13,32166744;26241,24759;111,4692981;0,002178568;0,9426;76276598,94;11242;684283,4776;645005,606;0,102804263;0,02379693;0,340823394;0,000140392;19,34;0,003064781;663;0,001453918
06.Jan.16;0,018635186;0,00094692;0,050813549;308791;2743;8,42269E+12;0,003701958;0,49624981;13,21459745;26244,19531;159,1110719;0,002205825;0,95;76304224,41;12617;479565,7743;455587,4855;0,104317013;0,032354525;0,677786396;0;20,59;0,012440837;797;-0,010719823
07.Jan.16;0,027267273;-0,014543412;-0,533365093;647462;2788;8,21011E+12;0,002789251;0,473369433;12,92144289;25399,43714;251,8267143;0,002046884;0,939947483;76331246,59;10795;303110,2034;284907,6729;0,096529393;0,042626648;2,272532689;9,74164E-05;24,99;0,014366496;864;-0,021500621
08.Jan.16;0,025537683;0,045613214;1,786113994;545600;2696;8,3024E+12;0,002349919;0,497670878;13,38253485;27576,76797;446,0087305;0,002168961;0,985;76359243,31;10640;171205,7143;168637,6286;0,146261877;0,049425973;3,235339612;-9,79269E-05;27,01;-0,008977616;669;-0,012378648
09.Jan.16;0,01342769;0,001318258;0,098174599;226281;2767;8,4328E+12;0,003232254;0,497718313;13,18611985;26765,42545;327,4413996;0,002156097;0,969910046;76386839,09;11246;233283,9989;226264,494;0,119444517;0,034230379;1,00007295;0;27,01;0;498;0
10.Jan.16;0,015663799;0,013704366;0,874906936;390888;2909;8,33674E+12;0,002550974;0,4915948;13,03438118;27287,96875;659,1491771;0,002229256;1;76414127,06;9972;115928,4267;115928,4267;0,087775111;0,01938346;3,371804579;0;27,01;0;669;0
11.Jan.16;0,031551023;0,059069228;1,872181075;1011920;3053;8,82819E+12;0,002508276;0,521793689;12,89473579;28920,00365;195,0808996;0,002384917;1,070906733;76441132,22;10545;391843,2424;419627,5665;0,144104686;0,038414168;2,411471697;0,000186471;24,299999;-0,001184888;846;-0,001272797
12.Jan.16;0,134404613;0,063369614;0,471483921;2898760;3070;8,88994E+12;0,002778392;0,507370322;12,36321691;30496,87488;104,264734;0,002665312;1,17745;76467033;10649;733393,0662;863533,6658;0,108183657;0,023013508;3,356858122;-8,65684E-05;22,469999;-0,009990459;756;0,005612311
13.Jan.16;0,044068012;-0,00881063;-0,199932544;1005910;2908;8,48367E+12;0,003883463;0,491295877;12,66170382;30182,0605;207,7862428;0,002631048;1,13743;76493568,31;11691;368135,8654;418728,7773;0,108407526;0,05057171;2,402294885;0;25,219999;0,001748654;816;-0,026138249
14.Jan.16;0,040897503;0,060624622;1,48235508;751961;2835;8,73531E+12;0,002930526;0,514954912;12,84037146;31385,67426;278,7929563;0,002712559;1,165920696;76520487,53;10311;274470,663;320011,0264;0,11568465;0,053128453;2,349797157;-0,000185542;23,950001;-0,012584602;731;0,015817737
15.Jan.16;0,102483195;0,025105921;0,244975981;3910550;3217;8,99616E+12;0,003027564;0,529688525;12,77776277;34592,45114;99,83338549;0,003509542;1,290891047;76547284,87;9631;766750,3661;989791,1831;0,130910504;0,054044509;3,95088385;0,000108672;27,02;0,016256015;952;-0,019147229
16.Jan.16;0,079919604;0;0;2462630;2774;9,20236E+12;0,002573833;0,537548256;12,64262661;32140,45764;173,2106023;0,003122597;1,21179;76573808;9749;442084,9936;535714,1744;0,0771231;0,044326127;4,596910289;0;27,02;0;835;0
17.Jan.16;0,039897235;0,086328083;2,163761054;1171150;2667;9,06803E+12;0,002291779;0,528553524;12,67479279;34870,71615;246,1999678;0,003427446;1,310936879;76600407,84;8720;311130,8605;407872,9192;0,086136843;0,039971449;2,871360036;0;27,02;0;688;0
18.Jan.16;0,099252246;0,072495502;0,730416744;4278930;3137;9,45395E+12;0,003509951;0,555148744;12,6800651;39031,64922;39,59072445;0,003809761;1,466244182;76627028;10149;1935479,309;2837885,276;0,101908787;0,044115573;1,507788224;8,7E-05;27,02;0;933;0
19.Jan.16;0,073347944;-0,035846132;-0,488713516;2446740;2933;9,53864E+12;0,003586981;0,548841035;12,42464294;35304,7912;85,54136506;0,003577958;1,353046598;76653120,81;9614;896094,1968;1212457,205;0,12964879;0,047142652;2,018001122;0;26,049999;-0,001466948;903;-0,003888609
20.Jan.16;0,106120563;0,117783036;1,109898333;2933220;3455;9,41392E+12;0,002610317;0,54909785;12,63439624;38662,37696;154,1408216;0,00346301;1,45662153;76679663,31;10180;497464,9968;724618,2248;0,152214527;0,050101375;4,047952287;0,000131045;27,59;0,015658035;930;-0,009021587
21.Jan.16;0,045217352;0,012987196;0,287217073;1614960;3047;9,5985E+12;0,002828522;0,551330029;12,33354149;38773,3369;189,8164103;0,003654863;1,49593;76705582,53;10306;404104,0626;604511,3903;0,09528453;0,037522726;2,671512937;0;26,690001;-0,007252321;1310;0,004037052
22.Jan.16;0,046780084;-0,032789823;-0,700935527;1567240;3114;9,89702E+12;0,00342256;0,573484339;12,48904667;39907,6;91,07376745;0,003989015;1,52;76731837,53;9936;842524,0295;1280636,525;0,105605895;0,027681273;1,223797674;9,75926E-05;22,34;-0,001730183;989;0,015591046
23.Jan.16;0,130672605;0,272568435;2,085888124;7370980;3519;1,00585E+13;0,003181784;0,573856659;12,25407654;51855,06748;84,59819849;0,005208084;2,012250536;76757607,22;10677;907319,6425;1825754,437;0,109123152;0,02605015;4,037224202;0;22,34;0;952;0
24.Jan.16;0,113071458;0,118951943;1,052006798;9669770;3936;1,01333E+13;0,003896524;0,606592233;12,9482773;57240,07983;49,84802232;0,005208578;2,101384785;76784846,44;11505;1540378,993;3236928,98;0,098176087;0,033177611;2,98732844;0;22,34;0;1246;0
25.Jan.16;0,154543133;0,15082289;0,975927476;10739300;4148;1,03301E+13;0,005947866;0,583595334;12,21288677;65118,62433;46,66771342;0,006463805;2,53372159;76810547,22;13480;1645903,379;4170260,926;0,13893042;0,040255845;2,575210566;0;24,15;0,008169238;1763;-0,015436321
26.Jan.16;0,243040493;-0,10404386;-0,428092696;13939200;4417;1,06107E+13;0,005464212;0,632694229;12,81886046;64241,2481;65,30038353;0,006086232;2,380586704;76837532,69;13914;1176678,122;2801184,293;0,131653296;0,038844839;4,97618098;-6,54173E-05;22,5;0,013914673;1685;0,013134637
27.Jan.16;0,112532435;0,06036315;0,53640668;6961080;4172;1,08201E+13;0,007283236;0,62410432;12,39617881;62685,06719;68,36154897;0,006085003;2,401309818;76863637,22;15632;1124369,45;2699959,399;0,115460781;0,064972908;2,578216547;8,74409E-05;23,110001;-0,005004926;1470;-0,010339627
28.Jan.16;0,091052079;0,048592555;0,533678698;4903850;4568;1,04487E+13;0,006281608;0,612189118;12,60855404;67636,18746;106,9876544;0,00672063;2,546453319;76890198,16;16292;718682,9043;1830092,467;0,158309546;0,047544632;2,679564059;0,000360352;22,42;-0,000448089;1251;0,004308504
29.Jan.16;0,08854934;-0,019881371;-0,224523081;6662340;4424;1,08831E+13;0,005676322;0,627430339;12,41600558;65087,03812;100,4082709;0,006563682;2,487635451;76916362,37;15562;766036,1212;1905618,612;0,156913888;0,032487159;3,496156029;0;20,200001;0,000716846;1060;0,024120682
30.Jan.16;0,057375263;-0,024194729;-0,421692684;3725080;4449;1,08761E+13;0,005898041;0,631555552;12,42549141;63928,77439;79,02299435;0,006469416;2,44067;76942555,5;14326;973672,994;2376414,466;0,115040209;0,016826717;1,567521177;0;20,200001;0;720;0
31.Jan.16;0,0962073;-0,054750515;-0,569088988;5847500;4497;1,06959E+13;0,005364265;0,603217919;12,17889963;57596,01631;80,00974716;0,006121803;2,24267178;76968237,37;13878;961985,7593;2157418,315;0,095410047;0,038198128;2,710415481;0;20,200001;0;864;0
01.Feb.16;0,056144004;-0,04857467;-0,865180019;3994100;4303;1,09175E+13;0,00496693;0,633803359;12,52996658;57287,02166;143,6508254;0,005838525;2,167397367;76994668,62;13833;535984,8676;1161692,191;0,103793296;0,04861245;3,438174098;-3,23293E-05;19,98;0,010248274;1094;0,001258926
02.Feb.16;0,066980733;0,094490843;1,410716766;3451270;4261;1,06741E+13;0,005043869;0,612175714;12,25726508;63278,73391;136,1843771;0,006560334;2,44653;77020533,31;13380;565560,7121;1383661,249;0,090346627;0,034774557;2,494302708;-0,000153238;21,98;-0,000532104;988;-0,016794332
03.Feb.16;0,052295585;0,040328045;0,771155833;3987750;4423;1,08572E+13;0,004914867;0,653326625;12,93368897;69073,34844;137,5052571;0,006873166;2,53;77047835,03;13945;560326,4681;1417625,964;0,142034078;0,045090422;2,812977542;0;21,65;0,012342571;1043;0,00285894
04.Feb.16;0,051609004;0,019570096;0,379199264;3552320;4210;1,11138E+13;0,005805575;0,651291683;12,57908696;67735,83593;267,2689497;0,006543287;2,55007;77074397,37;13805;288377,6714;735383,2486;0,125757158;0,046476814;4,830569647;-8,92574E-05;21,84;0,014180933;1073;0,001975376
05.Feb.16;0,038295092;-0,011741818;-0,306614168;2636700;4808;1,11761E+13;0,006554539;0,652829193;12,57297863;68109,77926;144,46078;0,00667149;2,56451;77100955,97;14781;533715,49;1368718,711;0,125086277;0,058717761;1,926400201;0;23,379999;0,000172756;923;-0,017410909
06.Feb.16;0,025306721;0;0;1921240;3957;1,08668E+13;0,019535307;0,627185343;12,4679717;67155,92332;374,9006532;0,006804072;2,54902;77127301,75;13730;205727,3069;524403,0199;0,099116307;0,020206547;3,66367074;0;23,379999;0;641;0
07.Feb.16;0,091098543;0,153025187;1,679776453;7007060;4143;1,10504E+13;0,010792741;0,650706899;12,62398923;77334,12167;95,99946407;0,007725019;2,898071101;77153986,44;13833;803691,8454;2329156,111;0,097574938;0,028680735;3,008411487;0;23,379999;0;801;0
08.Feb.16;0,079129163;0,068319244;0,863388939;9725690;4647;1,15399E+13;0,008178963;0,67737717;12,60411236;84853,49853;61,39494996;0,008585893;3,183772193;77180638,31;14336;1257117,049;4002374,305;0,154165426;0,049033557;2,429980122;-0,000178539;26;0,034048371;1223;-0,010631518
09.Feb.16;0,081776066;0,242513104;2,965575592;17954000;4872;1,12453E+13;0,012587727;0,658323779;12,51580266;103076,7556;60,46787613;0,010423978;3,893476765;77207112,53;15216;1276828,582;4971302,416;0,166462679;0,057742913;3,611528428;-0,00010098;26,540001;0,000667612;1562;0,002026661
10.Feb.16;0,165445865;0,104360015;0,63078044;28640400;6143;1,16593E+13;0,015038594;0,669734948;12,36365595;114525,6553;38,72707624;0,011548097;4,377682845;77233273,78;16801;1994296,53;8730397,708;0,190246839;0,06626633;3,280537835;0;26,290001;-0,003342528;1988;-0,002825592
11.Feb.16;0,191079522;0,289347352;1,514277136;26408200;8046;1,19938E+13;0,012741767;0,69713944;12,50897312;155476,1349;48,66420476;0,015549077;5,871940323;77259751,59;20722;1587609,455;9322347,975;0,156743189;0,055749475;2,832784195;-0,000271217;28,139999;0,043567031;1896;-0,009749593
12.Feb.16;0,179191939;-0,069593292;-0,388372893;23360800;6614;1,1553E+13;0,009988508;0,672942439;12,51464616;144959,7186;40,3360181;0,014309399;5,470403844;77286250,5;17828;1916060,487;10481624,65;0,146804914;0,065198512;2,228738461;5,65488E-05;25,4;-0,007076829;2090;0,016970917
13.Feb.16;0,217509961;-0,054164863;-0,249022449;24218800;6183;1,20974E+13;0,009752954;0,713276558;12,69242402;140305,5551;74,16487009;0,013395307;5,218790624;77313135,19;18873;1042449,546;5440325,919;0,098445426;0,065551263;4,451718585;0;25,4;0;1419;0
