date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
01.Jan.16;0,010885015;0,008583744;0,788583544;2791170;14891;51717,76459;0,105122227;1,437135348;11,62934898;49207,55707;73,95295079;0,008100509;3,521113207;43862085,58;15579;593107,9843;2088400,357;0,214158174;0,024771778;1,336510976;0;18,209999;0;238;0
02.Jan.16;0,007238367;-0,005698021;-0,787197077;3020260;21205;51717,76459;0,084560358;1,378004556;11,14745498;46962,14692;98,82544382;0,008067026;3,50463783;43875485,58;24028;443969,5273;1555952,401;0,26222721;0,038222742;1,941100511;0;18,209999;0;277;0
03.Jan.16;0,011659923;-0,005730675;-0,491484801;2406150;14742;50639,88745;0,076095107;1,522980088;12,57815209;52609,77486;92,62024232;0,008086584;3,478332222;43890588,7;14715;473876,8503;1648301,118;0,20318969;0,013314253;1,45977575;0;18,209999;0;274;0
04.Jan.16;0,00491469;0,005730675;1,166029768;3309740;13270;50157,67926;0,104506674;1,528424629;12,74002641;53608,54738;90,23275817;0,00807041;3,498110759;43905913,7;13675;486585,0783;1702128,498;0,255689288;0,033926856;1,944471293;-9,76552E-05;20,700001;0,013861794;306;-0,012609835
05.Jan.16;0,011656791;-0,005747142;-0,493029531;2104650;11411;50157,67926;0,066233904;1,498504408;12,48635654;52262,71449;91,27907544;0,008039355;3,47838366;43920938,7;12193;481172,0374;1673700,952;0,216446054;0,02379693;1,257482704;0,000140392;19,34;0,003064781;284;0,001453918
06.Jan.16;0,004979077;-0,005780363;-1,160930524;2208860;11261;51325,93979;0,083674818;1,53340721;12,48211137;51991,73149;78,5060066;0,008034655;3,460348186;43935876,2;11707;559649,8677;1936583,404;0,264152091;0,032354525;1,140596369;0;20,59;0,012440837;284;-0,010719823
07.Jan.16;0,021532937;0,042559614;1,97648909;4560680;12981;53393,2764;0,134143625;1,443881626;11,29479887;49253,36208;31,54137044;0,007886542;3,621570741;43949432,45;14586;1393390,073;5046260,718;0,285726059;0,042626648;0,903774152;9,74164E-05;24,99;0,014366496;306;-0,021500621
08.Jan.16;0,02106557;-0,00836825;-0,397247729;3277990;15365;53393,2764;0,135647084;1,52881584;11,95529951;51506,39746;47,48786854;0,007876155;3,576833157;43963766,83;18569;925789,4317;3311394,336;0,29071976;0,049425973;0,989912305;-9,79269E-05;27,01;-0,008977616;283;-0,012378648
09.Jan.16;0,009763068;-0,002805051;-0,287312446;2934720;26278;53393,2764;0,185461774;1,512890675;11,82693167;50827,29343;62,791704;0,007929011;3,566827609;43978016,83;32718;700379,4137;2498132,63;0,162311976;0,034230379;1,174765489;0;27,01;0;254;0
10.Jan.16;0,011497733;-0,005633818;-0,489993801;2462000;14568;52620,07861;0,166026519;1,574686494;12,48663284;53428,73462;29,17637617;0,007914041;3,550082034;43993044,95;15828;1507831,017;5352923,804;0,246064885;0,01938346;0,459935559;0;27,01;0;278;0
11.Jan.16;0,005984616;0,008462674;1,414071378;2931030;17263;52449,12819;0,100783089;1,54089084;12,25436226;52714,21286;38,11041832;0,007945513;3,567797825;44007798,08;21090;1154744,556;4119895,115;0,294279121;0,038414168;0,71143316;0,000186471;24,299999;-0,001184888;285;-0,001272797
12.Jan.16;0,009216498;-0,017045867;-1,849495023;4566050;14077;52449,12819;0,091601823;1,728613582;13,7421037;58138,23996;68,95357019;0,00793988;3,507586121;44024373,08;14184;638464,0122;2239467,508;0,285017718;0,023013508;2,038899865;-8,65684E-05;22,469999;-0,009990459;284;0,005612311
13.Jan.16;0,01213189;-0,002869442;-0,23652065;6745630;12242;53960,65959;0,082088926;1,483366612;11,45851833;47985,59399;38,0399217;0,008028785;3,470929041;44038198,08;12818;1157683,721;4018238,046;0,312656728;0,05057171;1,678753206;0;25,219999;0,001748654;281;-0,026138249
14.Jan.16;0,006122175;0;0;2044890;11651;55392,35658;0,090045425;1,533737923;11,53775838;48095,67934;60,71270536;0,008035649;3,45390875;44052101,2;11975;725582,9062;2506097,149;0,301452785;0,053128453;0,815965974;-0,000185542;23,950001;-0,012584602;260;0,015817737
15.Jan.16;0,048104085;-0,1426563;-2,965575592;5117640;12937;55392,35658;0,067542882;1,533737923;11,53411814;42274,06276;21,49579378;0,008253529;3,035839337;44066004,33;13335;2049982,651;6223417,972;0,254182348;0,054044509;0,822319829;0,000108672;27,02;0,016256015;376;-0,019147229
16.Jan.16;0,037160647;0,039609138;1,065889344;4170270;14626;55392,35658;0,048815451;1,608084285;12,0892232;45079,71227;44,35259392;0,007956405;3,087651525;44080582,45;14534;993867,0674;3068715,166;0,365501666;0,044326127;1,35896288;0;27,02;0;347;0
