date;sigma;ret;retSD;VolumeExch;AdrActCnt;FeeMeanNtv;FeeMeanUSD;NVTAdj;PriceBTC;PriceUSD;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
01.Jan.16;0,009705582;-0,014172809;-1,46027394;211767;919;0,01158885;6,87007E-05;2333,492512;1,36381E-05;0,005928172;13326;42853486,35;254042,8241;0,182991484;0,024771778;0,833587805;0;18,209999;0;142;0
02.Jan.16;0,013068474;0,017967544;1,374876964;278539;849;0,01162186;7,08926E-05;1807,076723;1,40409E-05;0,006099935;14337;55337044,29;337552,3605;0,159644251;0,038222742;0,825172722;0;18,209999;0;155;0
03.Jan.16;0,008190498;-0,008110613;-0,99024667;291723;1041;0,01157418;6,85502E-05;1403,919343;1,37693E-05;0,005922681;13403;71227937,83;421860,323;0,127475769;0,013314253;0,691515613;0;18,209999;0;156;0
04.Jan.16;0,010754998;-0,010186278;-0,947120382;310820;1248;0,01184086;7,06607E-05;1449,688794;1,37676E-05;0,005967532;13974;68979132,88;411635,1576;0,134428993;0,033926856;0,755086134;-9,76552E-05;20,700001;0,013861794;284;-0,012609835
05.Jan.16;0,005303523;0,015002782;2,828833028;381554;1304;0,01225333;7,41664E-05;1356,095412;1,39893E-05;0,006052753;13317;73739850,95;446329,1045;0,224286276;0,02379693;0,85487143;0,000140392;19,34;0,003064781;274;0,001453918
06.Jan.16;0,005792425;-0,0068067;-1,175103679;316235;1268;0,01199578;7,12325E-05;924,0402808;1,37879E-05;0,005938132;13488;108218519;642615,8068;0,183101559;0,032354525;0,492105853;0;20,59;0,012440837;313;-0,010719823
07.Jan.16;0,00989583;0,006812355;0,688406655;426048;1457;0,01178506;7,04388E-05;514,9977834;1,30158E-05;0,005976953;14469;194172228,5;1160558,333;0,165723208;0,042626648;0,367106062;9,74164E-05;24,99;0,014366496;298;-0,021500621
08.Jan.16;0,013827985;-0,017874025;-1,292597902;288641;1299;0,01181273;6,9177E-05;1117,565269;1,28952E-05;0,00585614;13442;89478679,45;523999,6354;0,146017699;0,049425973;0,550841986;-9,79269E-05;27,01;-0,008977616;271;-0,012378648
09.Jan.16;0,007122216;0,007551005;1,060204394;310336;867;0,01217495;7,2893E-05;1679,147299;1,33093E-05;0,005987128;13715;59553001,77;356551,4452;0,14992357;0,034230379;0,870382112;0;27,01;0;224;0
10.Jan.16;0,007592772;-0,004355845;-0,573683171;195011;898;0,0120182;7,17162E-05;2715,75524;1,33026E-05;0,005967298;13042;36821528,68;219725,043;0,12979351;0,01938346;0,887522866;0;27,01;0;203;0
11.Jan.16;0,005972111;-0,011469176;-1,920456051;216286;1112;0,01201208;7,04024E-05;1389,070418;1,30524E-05;0,005860964;13506;71989335,86;421926,9234;0,17784654;0,038414168;0,512614834;0,000186471;24,299999;-0,001184888;311;-0,001272797
12.Jan.16;0,003257065;-0,00647031;-1,98654648;310414;1304;0,01193838;6,92473E-05;1052,738471;1,31299E-05;0,00580039;11012;94988695,96;550971,4902;0,208436308;0,023013508;0,563393942;-8,65684E-05;22,469999;-0,009990459;334;0,005612311
13.Jan.16;0,009079582;-0,007222731;-0,795491571;497284;1329;0,01181357;6,74546E-05;316,158054;1,32079E-05;0,005709924;12002;316291962,4;1806003,03;0,164559629;0,05057171;0,27535059;0;25,219999;0,001748654;302;-0,026138249
14.Jan.16;0,018297859;-0,046988509;-2,56797853;849371;1355;0,01178844;6,6419E-05;265,276462;1,31083E-05;0,00563425;17791;376958611,2;2123879,034;0,170893316;0,053128453;0,399914961;-0,000185542;23,950001;-0,012584602;282;0,015817737
15.Jan.16;0,018750502;-0,055606031;-2,965575592;441054;1597;0,01135311;5,80012E-05;2620,477479;1,38894E-05;0,00510884;1760;38160314,03;194954,9398;0,198791122;0,054044509;2,262338161;0,000108672;27,02;0,016256015;271;-0,019147229
16.Jan.16;0,024303272;-0,021098237;-0,868123326;304209;735;0,01122547;5,63496E-05;3103,878668;1,29352E-05;0,005019797;516;32217187,16;161723,7312;0,16687737;0,044326127;1,881041191;0;27,02;0;206;0
17.Jan.16;0,032676718;0,030071657;0,920277758;473175;908;0,01135829;6,04641E-05;1815,33872;1,39179E-05;0,005323343;677;55085166,95;293237,2185;0,157156689;0,039971449;1,613625318;0;27,02;0;266;0
18.Jan.16;0,018457311;0,010570125;0,572679567;514295;1301;0,01139617;6,00225E-05;811,0643349;1,3685E-05;0,005266898;7393;123292600,9;649369,6116;0,15930461;0,044115573;0,791991172;8,7E-05;27,02;0;349;0
19.Jan.16;0,00587969;-0,01113114;-1,893150742;226472;1101;0,01165285;6,07144E-05;738,6664455;1,37779E-05;0,005210261;15048;135376700,2;705347,9375;0,153345144;0,047142652;0,321078418;0;26,049999;-0,001466948;354;-0,003888609
20.Jan.16;0,025890543;0,020654133;0,797748154;722260;1271;0,01162202;6,32952E-05;626,3150507;1,29478E-05;0,005446146;19455;159661208,8;869538,2489;0,180783818;0,050101375;0,830624761;0,000131045;27,59;0,015658035;360;-0,009021587
21.Jan.16;0,008247668;-0,010671261;-1,29385198;344950;1141;0,01154333;6,07059E-05;1335,263613;1,28487E-05;0,005258959;15131;74890239,06;393844,7095;0,206278972;0,037522726;0,875852821;0;26,690001;-0,007252321;308;0,004037052
22.Jan.16;0,018266514;-0,03836297;-2,100180119;355595;1064;0,01154621;5,86519E-05;215,1708936;1,33311E-05;0,005079757;15605;464738531,2;2360758,945;0,173295968;0,027681273;0,150627408;9,75926E-05;22,34;-0,001730183;341;0,015591046
23.Jan.16;0,011316553;0,002150749;0,190053334;310286;841;0,01156194;5,82883E-05;773,6778344;1,30481E-05;0,005041391;14721;129250437,5;651601,9856;0,154474142;0,02605015;0,476189464;0;22,34;0;223;0
24.Jan.16;0,010994412;0,01895608;1,724155932;341789;1061;0,01151025;5,87801E-05;1051,396278;1,26578E-05;0,005106759;15004;95109897,27;485703,2832;0,165333237;0,033177611;0,703699176;0;22,34;0;215;0
25.Jan.16;0,018692502;-0,016034343;-0,857795479;412095;1264;0,01198182;6,10637E-05;578,3418228;1,30014E-05;0,005096362;15761;172904992;881186,3512;0,169034707;0,040255845;0,467659309;0;24,15;0,008169238;400;-0,015436321
26.Jan.16;0,033331924;0,053247398;1,597489497;904781;1223;0,01173462;6,45509E-05;620,478477;1,40636E-05;0,005500892;18599;161163016,5;886540,3191;0,175368394;0,038844839;1,020575128;-6,54173E-05;22,5;0,013914673;339;0,013134637
27.Jan.16;0,075974189;0,184845489;2,433003771;2544770;1543;0,01143595;7,72813E-05;255,4203389;1,71244E-05;0,006757753;25347;391504343,7;2645689,704;0,235170535;0,064972908;0,961855049;8,74409E-05;23,110001;-0,005004926;381;-0,010339627
28.Jan.16;0,037953277;-0,044144448;-1,163126152;2203940;1488;0,01147292;7,00648E-05;277,5124173;1,61176E-05;0,006106973;24850;360337601,5;2200571,925;0,166257834;0,047544632;1,001530545;0,000360352;22,42;-0,000448089;436;0,004308504
29.Jan.16;0,091763091;0,093732478;1,021461645;2895430;1772;0,01172614;8,13797E-05;221,4220251;1,83114E-05;0,006940022;36749;451617892,8;3134238,197;0,193086387;0,032487159;0,923806622;0;20,200001;0,000716846;328;0,024120682
30.Jan.16;0,036414284;-0,02823787;-0,775461345;1233320;1443;0,01159064;7,5445E-05;437,7411274;1,72536E-05;0,00650913;25055;228441272,2;1486953,922;0,221773549;0,016826717;0,829427181;0;20,200001;0;204;0
31.Jan.16;0,020783348;-0,035613894;-1,713578286;977856;1410;0,01154264;7,33856E-05;679,9651698;1,73548E-05;0,006357786;28356;147063607,8;934998,9017;0,120072829;0,038198128;1,045836523;0;20,200001;0;163;0
01.Feb.16;0,014796587;0,022257488;1,504231198;830380;1496;0,01170355;7,73012E-05;581,900561;1,77923E-05;0,006604936;25441;171847444,5;1135041,45;0,120072829;0,04861245;0,731585618;-3,23293E-05;19,98;0,010248274;363;0,001258926
02.Feb.16;0,015718111;0,033504223;2,131567986;809854;1480;0,01171608;7,89668E-05;903,7008014;1,80733E-05;0,006740038;24039;110654010,7;745812,2027;0,108034407;0,034774557;1,08586853;-0,000153238;21,98;-0,000532104;295;-0,016794332
03.Feb.16;0,0111498;0,016405817;1,471400079;803366;1498;0,01155825;7,88827E-05;705,7964291;1,85407E-05;0,0068248;24253;141681236,6;966946,1629;0,09794892;0,045090422;0,830828055;0;21,65;0,012342571;328;0,00285894
04.Feb.16;0,011179049;0,012705917;1,136583044;1174600;1358;0,01156697;7,89043E-05;579,4100908;1,75035E-05;0,006821517;27281;172586054,1;1177298,689;0,133614471;0,046476814;0,997707728;-8,92574E-05;21,84;0,014180933;319;0,001975376
